PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC09_GRADTECH,PUFC11_WORK,PUFC14_PROCC,PUFC17_NATEM,PUFC18_PNWHRS,PUFC19_PHOURS,PUFC23_PCLASS,PUFC41_WQTR,PUFNEWEMPSTAT
0,47,2,11,0,0,43,3,0,0,5,1,1
1,25,3,4,0,1,1,2,8,24,2,2,0
1,23,3,12,0,1,1,2,8,24,2,2,0
0,18,3,14,0,0,43,3,0,0,5,2,2
1,37,2,9,0,1,22,0,8,48,2,2,0
0,34,2,4,0,0,43,3,0,0,5,1,1
0,43,2,20,0,1,32,1,8,40,2,2,0
0,23,3,20,0,0,43,3,0,0,5,2,2
0,22,3,20,0,1,23,1,8,40,1,2,0
0,60,5,14,0,1,19,1,12,48,0,2,0
1,33,2,20,0,1,36,1,12,48,6,2,0
0,36,2,20,0,1,36,1,12,48,6,2,0
1,34,2,3,0,1,25,1,8,40,0,2,0
0,34,2,20,0,1,34,1,8,40,1,2,0
0,48,5,20,0,1,32,1,8,40,2,2,0
0,62,2,16,0,0,43,3,0,0,5,0,1
0,35,2,20,0,0,43,3,0,0,5,0,1
0,81,5,7,0,1,19,1,8,56,4,2,0
0,70,5,20,0,0,43,3,0,0,5,0,1
1,38,2,20,0,1,33,1,8,48,0,2,0
0,37,2,20,0,1,19,1,8,56,4,2,0
1,47,2,20,0,1,34,1,8,56,2,2,0
0,40,2,3,0,1,15,1,8,56,2,2,0
0,40,3,4,0,1,8,1,8,56,3,2,0
1,29,2,0,0,1,35,1,12,36,2,2,0
0,30,2,4,0,0,43,3,0,0,5,0,1
1,21,3,14,0,0,43,3,0,0,5,0,2
1,31,2,20,0,1,19,1,8,42,0,2,0
0,28,2,20,0,1,36,1,8,48,2,2,0
1,20,3,3,0,0,43,3,0,0,5,1,1
0,61,5,4,0,1,1,2,8,32,2,2,0
0,36,3,4,0,0,43,3,0,0,5,0,1
1,55,2,16,0,1,38,1,8,40,1,2,0
0,53,2,20,0,0,43,3,0,0,5,0,1
0,27,3,20,0,1,38,1,8,40,1,2,0
0,26,3,20,0,1,5,1,8,40,1,2,0
1,50,2,20,0,1,33,1,8,40,4,2,0
0,46,2,20,0,0,43,3,0,0,5,0,1
1,22,3,0,1,1,35,1,8,32,2,2,0
1,42,2,20,0,1,29,1,8,40,1,2,0
0,42,2,20,0,1,6,1,8,40,1,2,0
0,15,3,13,0,0,43,3,0,0,5,1,1
1,30,2,20,0,1,34,1,8,56,2,2,0
0,30,2,3,1,0,43,3,0,0,5,0,1
1,67,2,4,0,0,43,3,0,0,5,0,1
0,65,2,14,0,1,19,1,12,84,0,2,0
0,50,5,14,0,1,8,1,8,48,3,2,0
1,20,3,14,0,0,43,3,0,0,5,0,1
1,49,2,14,0,1,25,1,8,24,0,2,0
0,44,2,11,0,1,1,1,8,16,2,2,0
1,30,2,14,0,1,4,0,8,40,2,2,0
0,24,2,14,0,0,43,3,0,0,5,0,1
0,50,5,20,0,1,33,1,5,15,4,2,0
1,15,3,13,0,0,43,3,0,0,5,1,1
1,31,2,14,1,1,10,1,4,28,2,2,0
0,33,2,14,0,0,43,3,0,0,5,0,1
0,86,5,4,0,0,43,3,0,0,5,1,1
1,58,2,20,0,1,25,1,6,36,4,2,0
0,56,2,13,0,1,19,1,12,84,4,2,0
1,27,3,14,1,1,36,1,8,56,7,2,0
1,32,2,20,0,1,42,1,8,40,1,2,0
0,36,2,20,0,1,42,1,8,40,1,2,0
1,39,2,20,0,1,19,1,12,84,4,2,0
0,33,2,20,0,0,43,3,0,0,5,1,1
0,78,5,7,0,0,43,3,0,0,5,0,1
1,58,2,4,0,1,4,0,8,48,2,2,0
1,30,2,4,0,1,4,0,8,32,2,2,0
0,28,2,14,0,1,32,1,8,40,4,2,0
1,45,2,15,0,1,26,1,4,21,4,2,0
0,40,2,4,0,1,8,2,8,16,2,2,0
1,19,3,14,0,1,22,0,8,48,2,2,0
1,17,3,14,0,1,22,0,8,48,2,2,0
1,16,3,12,0,0,43,3,0,0,5,1,1
1,32,2,12,1,1,27,1,8,48,4,2,0
0,32,2,14,0,0,43,3,0,0,5,2,1
1,48,2,14,0,1,25,2,8,48,4,2,0
0,48,2,2,0,1,1,2,8,48,7,2,0
1,24,3,14,0,1,1,2,8,48,7,2,0
1,51,2,12,0,1,25,1,6,42,4,2,0
0,44,2,4,0,1,8,0,3,6,2,2,0
1,26,3,14,0,1,1,2,6,36,2,2,0
1,22,3,20,0,0,43,3,0,0,5,0,1
1,20,3,14,1,1,14,1,8,48,2,2,0
1,18,3,14,0,1,14,1,8,48,2,2,0
1,36,2,14,1,1,25,1,9,54,4,2,0
0,33,2,14,0,0,43,3,0,0,5,0,2
1,34,2,7,0,1,33,1,14,84,4,2,0
0,36,2,14,0,0,43,3,0,0,5,0,1
1,42,2,14,0,1,25,1,8,48,4,2,0
0,42,2,14,1,1,19,1,6,30,4,2,0
1,35,2,0,1,1,34,1,12,60,2,2,0
0,33,2,2,0,0,43,3,0,0,5,1,1
1,76,2,2,0,1,25,1,6,36,4,2,0
0,72,2,4,0,0,43,3,0,0,5,1,1
1,37,2,20,0,0,43,3,0,0,5,0,2
0,35,2,20,0,1,15,1,8,40,2,2,0
1,35,2,11,0,1,4,0,8,48,2,2,0
